id,emergency_id,intervention_id,year_2020_total,year_2020_salaries,year_2020_training,year_2020_consumables,year_2020_logistics,year_2020_equipment,year_2020_administration,year_2021_total,year_2021_salaries,year_2021_training,year_2021_consumables,year_2021_logistics,year_2021_equipment,year_2021_administration,year_2022_total,year_2022_salaries,year_2022_training,year_2022_consumables,year_2022_logistics,year_2022_equipment,year_2022_administration,beneficiaries_2020_number_people_need_male,beneficiaries_2020_number_people_need_female,beneficiaries_2020_number_people_targeted_male,beneficiaries_2020_number_people_targeted_female,beneficiaries_2020_number_people_reached_male,beneficiaries_2020_number_people_reached_female,beneficiaries_2021_number_people_need_male,beneficiaries_2021_number_people_need_female,beneficiaries_2021_number_people_targeted_male,beneficiaries_2021_number_people_targeted_female,beneficiaries_2021_number_people_reached_male,beneficiaries_2021_number_people_reached_female,beneficiaries_2022_number_people_need_male,beneficiaries_2022_number_people_need_female,beneficiaries_2022_number_people_targeted_male,beneficiaries_2022_number_people_targeted_female,beneficiaries_2022_number_people_reached_male,beneficiaries_2022_number_people_reached_female,comments
42,gtm_eta,8-c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,gtm_eta,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,gtm_eta,9-a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,162,0,0,0,0,0,0,
45,gtm_eta,9-b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,gtm_eta,10,0,0,0,0,0,0,0,0,120000,5000,12785,41299,20000,15000,0,0,0,0,0,0,0,0,0,0,,0,5534,0,0,0,0,0,36144,0,0,0,0,0,0,
47,gtm_eta,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,gtm_eta,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,gtm_eta,12-a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,gtm_eta,12-b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,gtm_eta,12-c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
